Variable,"CT187200, Los Angeles County, CA","CT197200, Los Angeles County, CA","CT197420, Los Angeles County, CA","CT197300, Los Angeles County, CA","CT197410, Los Angeles County, CA","CT195720, Los Angeles County, CA","CT197500, Los Angeles County, CA","CT197600, Los Angeles County, CA","CT197700, Los Angeles County, CA","CT980010, Los Angeles County, CA","CT187300, Los Angeles County, CA"
"# Households w/ Income $100000 to $124999, 2000",18,50,11,62,42,11,42,12,23,N/A,113
"# Households w/ Income $100000 to $124999, 2008",29,75,20,71,96,35,64,27,32,N/A,116
"# Households w/ Income $100000 to $124999, 2009",29,78,24,77,101,40,73,27,33,N/A,116
"# Households w/ Income $100000 to $124999, 2010",49,57,107,117,152,51,60,67,81,3,136
"# Households w/ Income $100000 to $124999, 2011",52,58,107,123,154,51,62,65,82,3,142
"# Households w/ Income $100000 to $124999, 2012",41,80,109,93,133,66,70,55,84,9,178
"# Households w/ Income $100000 to $124999, 2013",48,117,150,137,141,75,106,34,97,11,185
"# Households w/ Income $100000 to $124999, 2014",65,109,149,121,196,64,109,25,141,10,159
"# Households w/ Income $100000 to $124999, 2015",56,124,173,137,188,72,110,33,134,7,162
"# Households w/ Income $100000 to $124999, 2016",64,108,198,151,187,69,97,37,126,6,186
"# Households w/ Income $100000 to $124999, 2019",74,105,171,173,250,87,132,29,173,5,156
"# Households w/ Income $100000 to $124999, 2020",60,124,205,182,216,94,119,43,144,3,164
"# Households w/ Income $100000 to $124999, 2021",65,142,220,195,213,101,133,46,157,3,182
"# Households w/ Income $75000 to $99999, 2021",99,130,136,237,205,76,210,105,230,1,140
"# Households w/ Income $75000 to $99999, 2020",95,138,138,246,206,76,209,104,215,0,162
"# Households w/ Income $75000 to $99999, 2019",100,180,194,290,209,96,209,116,247,0,221
"# Households w/ Income $75000 to $99999, 2016",75,118,155,217,214,96,202,88,212,1,145
"# Households w/ Income $75000 to $99999, 2015",78,140,186,241,223,103,186,75,202,1,162
"# Households w/ Income $75000 to $99999, 2014",76,153,211,244,233,119,187,72,219,0,179
"# Households w/ Income $75000 to $99999, 2013",78,117,180,250,227,121,153,62,189,2,125
"# Households w/ Income $75000 to $99999, 2012",107,141,176,225,201,93,171,33,148,3,149
"# Households w/ Income $75000 to $99999, 2011",112,93,161,231,200,92,182,53,154,7,246
"# Households w/ Income $75000 to $99999, 2010",109,90,158,230,205,91,182,50,133,7,249
"# Households w/ Income $75000 to $99999, 2009",58,165,90,133,150,66,135,60,78,N/A,182
"# Households w/ Income $75000 to $99999, 2008",56,161,84,136,148,71,128,55,68,N/A,182
"# Households w/ Income $75000 to $99999, 2000",46,139,45,119,138,68,81,30,53,N/A,159
"# Households w/ Income $50000 to $74999, 2000",124,237,145,193,288,91,200,133,131,N/A,276
"# Households w/ Income $50000 to $74999, 2008",144,286,169,197,274,113,212,135,214,N/A,324
"# Households w/ Income $50000 to $74999, 2009",144,290,183,202,268,117,220,135,227,N/A,326
"# Households w/ Income $50000 to $74999, 2010",246,260,188,288,199,118,276,142,266,10,306
"# Households w/ Income $50000 to $74999, 2011",240,262,184,282,201,120,280,146,273,11,311
"# Households w/ Income $50000 to $74999, 2012",215,230,153,311,267,119,313,146,277,3,260
"# Households w/ Income $50000 to $74999, 2013",164,230,182,325,243,95,239,186,277,6,300
"# Households w/ Income $50000 to $74999, 2014",144,187,139,333,241,96,251,180,276,3,204
"# Households w/ Income $50000 to $74999, 2015",145,195,133,327,235,98,247,186,276,5,194
"# Households w/ Income $50000 to $74999, 2016",150,208,132,303,208,86,244,170,271,6,201
"# Households w/ Income $50000 to $74999, 2019",155,163,115,290,222,111,258,200,301,5,171
"# Households w/ Income $50000 to $74999, 2020",160,213,131,319,214,111,242,202,293,7,202
"# Households w/ Income $50000 to $74999, 2021",153,229,131,330,207,121,239,223,295,7,210
"# Households w/ Income $35000 to $49999, 2000",139,355,304,201,196,151,251,112,314,N/A,321
"# Households w/ Income $35000 to $49999, 2008",134,292,314,221,169,175,282,138,320,N/A,262
"# Households w/ Income $35000 to $49999, 2009",130,281,316,228,163,175,293,144,328,N/A,254
"# Households w/ Income $35000 to $49999, 2010",129,171,94,223,227,112,151,198,267,7,163
"# Households w/ Income $35000 to $49999, 2011",133,166,97,221,226,112,155,194,259,7,160
"# Households w/ Income $35000 to $49999, 2012",145,160,140,169,168,86,191,289,254,1,170
"# Households w/ Income $35000 to $49999, 2013",155,184,141,218,176,129,220,270,285,0,127
"# Households w/ Income $35000 to $49999, 2014",131,192,136,237,169,139,175,214,269,8,173
"# Households w/ Income $35000 to $49999, 2015",127,199,155,235,187,141,176,202,264,4,157
"# Households w/ Income $35000 to $49999, 2016",122,221,147,225,209,150,177,172,243,4,137
"# Households w/ Income $35000 to $49999, 2019",114,237,175,234,194,144,183,192,263,10,182
"# Households w/ Income $35000 to $49999, 2020",119,218,183,228,221,153,188,176,255,5,143
"# Households w/ Income $35000 to $49999, 2021",129,212,188,215,219,145,175,161,241,4,137
"# Households w/ Income $25000 to $34999, 2000",113,208,179,248,148,162,315,161,277,N/A,141
"# Households w/ Income $25000 to $34999, 2008",106,200,204,245,119,136,313,170,282,N/A,128
"# Households w/ Income $25000 to $34999, 2009",104,196,205,244,111,137,313,171,292,N/A,120
"# Households w/ Income $25000 to $34999, 2010",134,150,166,231,144,142,196,117,190,6,126
"# Households w/ Income $25000 to $34999, 2011",132,149,164,235,145,142,194,115,199,6,124
"# Households w/ Income $25000 to $34999, 2012",74,106,157,247,181,91,199,121,185,7,125
"# Households w/ Income $25000 to $34999, 2013",87,119,141,175,131,86,206,79,192,3,111
"# Households w/ Income $25000 to $34999, 2014",104,131,209,198,159,95,163,96,249,9,114
"# Households w/ Income $25000 to $34999, 2015",104,127,200,197,151,89,161,98,233,9,113
"# Households w/ Income $25000 to $34999, 2016",99,117,220,217,142,95,126,114,265,12,132
"# Households w/ Income $25000 to $34999, 2019",115,116,218,206,137,97,131,75,283,10,112
"# Households w/ Income $25000 to $34999, 2020",109,105,205,215,130,82,137,96,269,12,135
"# Households w/ Income $25000 to $34999, 2021",104,83,203,210,124,73,158,90,283,14,136
"# Households w/ Income $15000 to $24999, 2000",177,237,253,357,77,191,338,228,372,N/A,104
"# Households w/ Income $15000 to $24999, 2008",148,190,218,330,65,224,309,207,352,N/A,113
"# Households w/ Income $15000 to $24999, 2009",138,185,215,333,64,223,303,202,356,N/A,112
"# Households w/ Income $15000 to $24999, 2010",107,115,124,196,142,74,244,70,342,10,91
"# Households w/ Income $15000 to $24999, 2011",107,112,132,194,137,76,236,71,336,9,89
"# Households w/ Income $15000 to $24999, 2012",109,133,162,232,156,75,169,21,313,21,86
"# Households w/ Income $15000 to $24999, 2013",94,98,155,177,179,71,176,35,304,15,123
"# Households w/ Income $15000 to $24999, 2014",133,105,139,187,129,86,173,67,246,12,125
"# Households w/ Income $15000 to $24999, 2015",132,87,161,205,118,83,178,72,294,16,130
"# Households w/ Income $15000 to $24999, 2016",137,80,165,208,114,79,191,72,260,13,122
"# Households w/ Income $15000 to $24999, 2019",117,78,118,166,110,81,159,72,201,10,100
"# Households w/ Income $15000 to $24999, 2020",130,82,156,187,112,85,184,70,270,15,107
"# Households w/ Income $15000 to $24999, 2021",126,87,142,178,111,92,161,66,232,12,100
"# Households w/ Income less than $15000, 2000",156,254,351,453,171,269,306,215,572,N/A,253
"# Households w/ Income less than $15000, 2008",139,203,346,414,171,265,292,188,548,N/A,219
"# Households w/ Income less than $15000, 2009",133,193,346,413,167,257,291,185,552,N/A,206
"# Households w/ Income less than $15000, 2010",42,221,290,192,170,205,213,92,435,11,89
"# Households w/ Income less than $15000, 2011",43,217,289,190,171,208,216,95,430,11,89
"# Households w/ Income less than $15000, 2012",110,222,257,195,186,277,243,103,480,6,106
"# Households w/ Income less than $15000, 2013",125,177,171,183,202,203,188,150,444,19,82
"# Households w/ Income less than $15000, 2014",153,156,140,144,163,185,216,135,356,13,83
"# Households w/ Income less than $15000, 2015",151,160,119,133,164,180,211,135,307,9,71
"# Households w/ Income less than $15000, 2016",162,164,116,129,161,188,224,141,302,8,67
"# Households w/ Income less than $15000, 2019",148,140,126,128,155,177,203,127,317,11,75
"# Households w/ Income less than $15000, 2020",151,161,112,130,161,179,205,141,302,9,66
"# Households w/ Income less than $15000, 2021",141,151,111,123,149,170,203,133,285,7,67
