Variable,"CT980010, Los Angeles County, CA","CT197700, Los Angeles County, CA","CT197600, Los Angeles County, CA","CT197500, Los Angeles County, CA","CT195720, Los Angeles County, CA","CT197410, Los Angeles County, CA","CT197300, Los Angeles County, CA","CT197420, Los Angeles County, CA","CT197200, Los Angeles County, CA","CT187200, Los Angeles County, CA"
"# Housing, Units, 2019",65,2088,1011,1752,952,1822,1886,1468,1235,981
"# Housing, Units, 2020",64,2071,1024,1765,937,1847,1926,1494,1252,989
"# Housing, Units, 2021",64,2056,1017,1764,933,1822,1914,1501,1254,988
"# Households w/ Rent $2000+, 2021",0,48,14,84,32,145,107,194,0,13
"# Households w/ Rent $2000+, 2020",0,49,14,81,35,154,111,188,0,13
"# Households w/ Rent $2000+, 2019",0,53,15,85,35,147,107,195,0,14
"# Households w/ Rent $2000+, 2016",0,45,13,77,29,132,96,174,0,12
"# Households w/ Rent $2000+, 2015",0,44,13,77,29,132,97,171,0,12
"# Households w/ Rent $2000+, 2014",0,46,14,76,31,132,95,172,0,12
"# Households w/ Rent $2000+, 2013",0,6,21,49,31,122,124,106,0,16
"# Households w/ Rent $2000+, 2012",0,0,0,18,26,48,118,55,0,0
"# Households w/ Rent $2000+, 2011",1,2,5,32,23,54,76,30,0,0
"# Households w/ Rent $2000+, 2010",1,2,5,31,22,52,73,28,0,0
"# Households w/ Rent $2000+, 2009",N/A,12,0,12,0,61,35,0,0,0
"# Households w/ Rent $2000+, 2008",N/A,9,0,9,0,51,33,0,0,0
"# Households w/ Rent $2000+, 2000",N/A,0,0,0,0,0,5,0,0,0
"# Households w/ Rent $1500-$1999, 2000",N/A,6,0,6,0,36,8,0,0,0
"# Households w/ Rent $1500-$1999, 2008",N/A,137,76,84,0,86,7,0,0,0
"# Households w/ Rent $1500-$1999, 2009",N/A,160,92,100,0,92,4,0,0,0
"# Households w/ Rent $1500-$1999, 2010",4,114,73,102,14,123,150,90,16,44
"# Households w/ Rent $1500-$1999, 2011",4,120,78,108,15,127,157,97,17,47
"# Households w/ Rent $1500-$1999, 2012",11,119,138,188,23,168,155,188,13,47
"# Households w/ Rent $1500-$1999, 2013",0,139,76,351,26,151,177,206,9,68
"# Households w/ Rent $1500-$1999, 2014",0,128,43,352,39,70,203,132,9,55
"# Households w/ Rent $1500-$1999, 2015",0,124,44,348,37,72,202,130,8,55
"# Households w/ Rent $1500-$1999, 2016",0,124,43,351,37,71,201,132,8,55
"# Households w/ Rent $1500-$1999, 2019",0,140,47,383,44,77,220,144,9,61
"# Households w/ Rent $1500-$1999, 2020",0,153,53,416,49,92,242,152,9,67
"# Households w/ Rent $1500-$1999, 2021",0,134,46,378,41,76,216,143,8,59
"# Households w/ Rent $1250-$1499, 2000",N/A,29,15,16,0,17,0,0,0,0
"# Households w/ Rent $1250-$1499, 2008",N/A,328,120,67,0,87,89,43,78,0
"# Households w/ Rent $1250-$1499, 2009",N/A,346,129,66,0,97,108,55,91,0
"# Households w/ Rent $1250-$1499, 2010",4,102,101,210,105,57,116,25,28,11
"# Households w/ Rent $1250-$1499, 2011",4,107,106,217,109,59,120,27,29,11
"# Households w/ Rent $1250-$1499, 2012",6,187,71,263,189,130,224,59,32,10
"# Households w/ Rent $1250-$1499, 2013",9,221,90,122,196,176,211,56,52,9
"# Households w/ Rent $1250-$1499, 2014",10,180,92,100,157,200,201,75,73,34
"# Households w/ Rent $1250-$1499, 2015",10,172,91,100,150,201,201,74,69,35
"# Households w/ Rent $1250-$1499, 2016",10,173,92,101,151,200,203,76,70,35
"# Households w/ Rent $1250-$1499, 2019",11,207,102,111,178,223,227,87,86,39
"# Households w/ Rent $1250-$1499, 2020",8,128,67,76,117,156,151,55,53,26
"# Households w/ Rent $1250-$1499, 2021",11,194,101,112,168,220,223,85,81,38
"# Households w/ Rent $1000-$1249, 2000",N/A,110,32,31,0,37,22,11,25,0
"# Households w/ Rent $1000-$1249, 2008",N/A,133,80,353,167,104,272,179,181,157
"# Households w/ Rent $1000-$1249, 2009",N/A,159,89,429,210,119,332,217,222,190
"# Households w/ Rent $1000-$1249, 2010",3,167,41,161,101,164,64,42,103,107
"# Households w/ Rent $1000-$1249, 2011",3,177,43,167,105,172,66,44,103,113
"# Households w/ Rent $1000-$1249, 2012",6,214,64,187,84,160,104,81,116,163
"# Households w/ Rent $1000-$1249, 2013",18,199,143,259,65,122,169,95,112,161
"# Households w/ Rent $1000-$1249, 2014",24,288,246,227,113,164,245,92,115,207
"# Households w/ Rent $1000-$1249, 2015",23,281,243,227,108,165,245,91,114,207
"# Households w/ Rent $1000-$1249, 2016",23,280,245,227,108,163,245,92,116,208
"# Households w/ Rent $1000-$1249, 2019",26,332,276,256,127,184,274,105,132,232
"# Households w/ Rent $1000-$1249, 2020",26,319,276,247,124,198,280,101,127,230
"# Households w/ Rent $1000-$1249, 2021",24,313,271,251,119,182,275,104,131,232
"# Households w/ Rent $750-$999, 2000",N/A,116,51,130,53,82,110,62,94,64
"# Households w/ Rent $750-$999, 2008",N/A,709,261,559,406,222,519,456,322,188
"# Households w/ Rent $750-$999, 2009",N/A,823,300,598,471,202,600,544,329,207
"# Households w/ Rent $750-$999, 2010",9,256,110,174,184,157,296,207,220,140
"# Households w/ Rent $750-$999, 2011",9,263,112,174,187,154,297,211,222,140
"# Households w/ Rent $750-$999, 2012",5,327,173,316,178,164,298,262,141,118
"# Households w/ Rent $750-$999, 2013",0,379,212,153,203,115,240,255,190,90
"# Households w/ Rent $750-$999, 2014",3,439,168,199,174,114,241,260,157,81
"# Households w/ Rent $750-$999, 2015",4,489,195,231,196,130,279,300,179,93
"# Households w/ Rent $750-$999, 2016",4,479,190,227,192,130,274,298,175,93
"# Households w/ Rent $750-$999, 2019",3,423,161,184,164,105,224,250,154,76
"# Households w/ Rent $750-$999, 2020",5,603,238,273,248,162,347,359,226,110
"# Households w/ Rent $750-$999, 2021",4,492,193,228,195,128,276,304,184,93
"# Households w/ Rent $500-$749, 2000",N/A,765,267,598,359,342,535,402,419,225
"# Households w/ Rent $500-$749, 2008",N/A,100,148,180,118,3,164,157,31,35
"# Households w/ Rent $500-$749, 2009",N/A,6,125,136,79,0,89,99,12,0
"# Households w/ Rent $500-$749, 2010",12,653,221,291,179,118,278,388,123,136
"# Households w/ Rent $500-$749, 2011",12,647,218,281,176,114,272,382,121,134
"# Households w/ Rent $500-$749, 2012",0,459,232,149,104,107,204,205,89,103
"# Households w/ Rent $500-$749, 2013",4,457,164,226,126,91,213,160,31,106
"# Households w/ Rent $500-$749, 2014",5,356,111,213,138,106,214,189,66,63
"# Households w/ Rent $500-$749, 2015",4,320,103,200,123,101,204,177,61,58
"# Households w/ Rent $500-$749, 2016",4,321,103,201,124,98,203,180,62,58
"# Households w/ Rent $500-$749, 2019",4,357,110,209,140,101,212,190,69,62
"# Households w/ Rent $500-$749, 2020",4,270,85,163,111,91,171,145,53,48
"# Households w/ Rent $500-$749, 2021",4,318,100,195,122,97,199,176,62,58
"# Households w/ Rent $250-$499, 2000",N/A,395,382,515,323,70,493,402,150,129
"# Households w/ Rent $250-$499, 2008",N/A,65,70,95,65,9,94,88,27,23
"# Households w/ Rent $250-$499, 2009",N/A,39,39,56,42,6,59,57,21,15
"# Households w/ Rent $250-$499, 2010",4,212,56,122,91,44,167,80,82,87
"# Households w/ Rent $250-$499, 2011",4,214,56,119,90,43,162,79,81,87
"# Households w/ Rent $250-$499, 2012",5,137,26,96,61,16,110,63,65,40
"# Households w/ Rent $250-$499, 2013",0,101,10,59,64,21,73,43,74,34
"# Households w/ Rent $250-$499, 2014",0,92,30,44,57,16,52,14,77,32
"# Households w/ Rent $250-$499, 2015",0,91,31,46,57,17,54,15,76,32
"# Households w/ Rent $250-$499, 2016",0,92,31,47,57,16,53,15,78,33
"# Households w/ Rent $250-$499, 2019",0,87,28,41,55,14,48,14,76,29
"# Households w/ Rent $250-$499, 2020",0,76,26,37,50,14,46,12,67,27
"# Households w/ Rent $250-$499, 2021",0,89,30,45,56,16,52,14,78,32
"Housing, Median Rent ($), 2000",N/A,599,491,552,522,660,531,505,603,579
"Housing, Median Rent ($), 2008",N/A,952,901,927,867,1111,905,863,948,938
"Housing, Median Rent ($), 2009",N/A,970,935,960,896,1167,940,897,977,978
"Housing, Median Rent ($), 2011",806,713,787,955,866,1044,866,729,832,829
"Housing, Median Rent ($), 2010",806,707,769,931,856,1028,854,722,829,820
"Housing, Median Rent ($), 2012",1167,846,875,1059,985,1171,992,924,869,957
"Housing, Median Rent ($), 2013",1097,874,960,1157,953,1321,1108,998,910,1019
"Housing, Median Rent ($), 2014",1135,928,1037,1154,979,1251,1116,1003,912,1072
"Housing, Median Rent ($), 2015",1135,927,1026,1141,967,1244,1102,987,908,1070
"Housing, Median Rent ($), 2016",1135,927,1029,1144,969,1247,1105,989,909,1069
"Housing, Median Rent ($), 2019",1144,957,1058,1185,1025,1275,1152,1085,935,1089
"Housing, Median Rent ($), 2020",1120,936,1022,1165,958,1210,1094,991,909,1076
"Housing, Median Rent ($), 2021",1140,945,1045,1168,991,1260,1130,1031,924,1080
"# Households w/ Rent less than $250, 2000",N/A,27,10,18,26,6,56,58,42,17
"# Households w/ Rent less than $250, 2008",N/A,8,3,7,10,2,20,21,14,5
"# Households w/ Rent less than $250, 2009",N/A,8,3,6,8,2,18,20,12,4
"# Households w/ Rent less than $250, 2010",1,0,36,13,0,40,7,12,23,1
"# Households w/ Rent less than $250, 2011",1,0,37,13,0,41,7,12,23,1
"# Households w/ Rent less than $250, 2012",5,0,15,7,0,0,7,12,14,0
"# Households w/ Rent less than $250, 2013",9,9,12,17,0,0,9,8,15,0
"# Households w/ Rent less than $250, 2014",0,9,14,20,0,0,9,6,7,12
"# Households w/ Rent less than $250, 2015",0,8,12,19,0,0,9,6,7,11
"# Households w/ Rent less than $250, 2016",0,8,12,19,0,0,9,6,7,11
"# Households w/ Rent less than $250, 2019",0,10,14,22,0,0,10,6,8,13
"# Households w/ Rent less than $250, 2020",0,9,13,20,0,0,10,6,7,12
"# Households w/ Rent less than $250, 2021",0,8,12,19,0,0,9,6,7,11
